,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,quiz_1_grades,quiz_2_grades,quiz_3_grades,quiz_4_grades,quiz_5_grades,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
pxe53402,patricia.evans@univ.edu,3,Patricia,Evans,57.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,69,80,2019-09-12 08:56:02-07:00,64,100,2019-09-19 08:56:02-07:00,57,70,2019-09-26 08:56:02-07:00,66,90,2019-10-03 08:56:02-07:00,40,50,2019-10-10 08:56:02-07:00,69,70,2019-10-17 08:56:02-07:00,44,60,2019-10-24 08:56:02-07:00,48,60,2019-10-31 08:56:02-07:00,0.72,100,2019-10-08 12:30:07-07:00,0.91,100,2019-11-08 12:30:07-07:00,0.68,100,2019-12-08 12:30:07-07:00,9,9,8,12,4,0.7945945945945946,0.8006666666666667,0.8006666666666667,0.6086956521739131,0.6158492487904252,0.6158492487904252,0.7340214413037942,74.0,C
jgf12345,john.g.2.flower@univ.edu,3,Gregg,Flower,69.0,80,2019-08-29 08:56:02-07:00,52,80,2019-09-05 08:56:02-07:00,64,80,2019-09-12 08:56:02-07:00,75,100,2019-09-19 08:56:02-07:00,61,70,2019-09-26 08:56:02-07:00,83,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,42,60,2019-10-24 08:56:02-07:00,40,60,2019-10-31 08:56:02-07:00,0.72,100,2019-10-08 12:30:07-07:00,0.83,100,2019-11-08 12:30:07-07:00,0.77,100,2019-12-08 12:30:07-07:00,8,8,8,13,5,0.7702702702702703,0.7657103174603176,0.7702702702702703,0.6086956521739131,0.6152864782276548,0.6152864782276548,0.7271940515764046,73.0,C
axf16145,ashlee.foster@univ.edu,3,Ashlee,Foster,79.0,80,2019-08-29 08:56:02-07:00,78,80,2019-09-05 08:56:02-07:00,74,80,2019-09-12 08:56:02-07:00,81,100,2019-09-19 08:56:02-07:00,63,70,2019-09-26 08:56:02-07:00,75,90,2019-10-03 08:56:02-07:00,38,50,2019-10-10 08:56:02-07:00,45,70,2019-10-17 08:56:02-07:00,41,60,2019-10-24 08:56:02-07:00,43,60,2019-10-31 08:56:02-07:00,0.73,100,2019-10-08 12:30:07-07:00,0.61,100,2019-11-08 12:30:07-07:00,0.74,100,2019-12-08 12:30:07-07:00,5,12,17,14,12,0.8337837837837838,0.8233690476190476,0.8337837837837838,0.8695652173913043,0.850909090909091,0.8695652173913043,0.8028830787309049,81.0,B
llf55044,linda.friedman@univ.edu,3,Linda,Friedman,49.0,80,2019-08-29 08:56:02-07:00,70,80,2019-09-05 08:56:02-07:00,62,80,2019-09-12 08:56:02-07:00,83,100,2019-09-19 08:56:02-07:00,58,70,2019-09-26 08:56:02-07:00,79,90,2019-10-03 08:56:02-07:00,42,50,2019-10-10 08:56:02-07:00,60,70,2019-10-17 08:56:02-07:00,54,60,2019-10-24 08:56:02-07:00,42,60,2019-10-31 08:56:02-07:00,0.64,100,2019-10-08 12:30:07-07:00,0.86,100,2019-11-08 12:30:07-07:00,0.7,100,2019-12-08 12:30:07-07:00,10,9,8,5,8,0.8094594594594594,0.8095992063492063,0.8095992063492063,0.5797101449275363,0.6006977336389101,0.6006977336389101,0.7270490026313556,73.0,C
abg77872,april.greer@univ.edu,3,April,Greer,61.0,80,2019-08-29 08:56:02-07:00,62,80,2019-09-05 08:56:02-07:00,67,80,2019-09-12 08:56:02-07:00,65,100,2019-09-19 08:56:02-07:00,58,70,2019-09-26 08:56:02-07:00,68,90,2019-10-03 08:56:02-07:00,30,50,2019-10-10 08:56:02-07:00,46,70,2019-10-17 08:56:02-07:00,60,60,2019-10-24 08:56:02-07:00,36,60,2019-10-31 08:56:02-07:00,0.74,100,2019-10-08 12:30:07-07:00,0.71,100,2019-11-08 12:30:07-07:00,0.94,100,2019-12-08 12:30:07-07:00,8,11,13,13,12,0.7472972972972973,0.7466269841269841,0.7472972972972973,0.8260869565217391,0.830776674306086,0.830776674306086,0.7971519212107447,80.0,B
dxj78877,dylan.johnson@univ.edu,3,Dylan,Johnson,61.0,80,2019-08-29 08:56:02-07:00,48,80,2019-09-05 08:56:02-07:00,59,80,2019-09-12 08:56:02-07:00,71,100,2019-09-19 08:56:02-07:00,42,70,2019-09-26 08:56:02-07:00,75,90,2019-10-03 08:56:02-07:00,50,50,2019-10-10 08:56:02-07:00,49,70,2019-10-17 08:56:02-07:00,36,60,2019-10-24 08:56:02-07:00,50,60,2019-10-31 08:56:02-07:00,0.72,100,2019-10-08 12:30:07-07:00,0.64,100,2019-11-08 12:30:07-07:00,0.99,100,2019-12-08 12:30:07-07:00,6,9,15,5,10,0.731081081081081,0.7376666666666666,0.7376666666666666,0.6521739130434783,0.6436567354214413,0.6521739130434783,0.7392188405797102,74.0,C
pmj37756,paul.johnson@univ.edu,3,Paul,Johnson,73.0,80,2019-08-29 08:56:02-07:00,50,80,2019-09-05 08:56:02-07:00,55,80,2019-09-12 08:56:02-07:00,65,100,2019-09-19 08:56:02-07:00,47,70,2019-09-26 08:56:02-07:00,76,90,2019-10-03 08:56:02-07:00,32,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,40,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.84,100,2019-10-08 12:30:07-07:00,0.8,100,2019-11-08 12:30:07-07:00,0.94,100,2019-12-08 12:30:07-07:00,10,14,9,11,10,0.7351351351351352,0.7333253968253968,0.7351351351351352,0.782608695652174,0.7981767252355487,0.7981767252355487,0.7965070716247187,80.0,B
rsj94156,robert.johnston@univ.edu,3,Robert,Johnston,74.0,80,2019-08-29 08:56:02-07:00,64,80,2019-09-05 08:56:02-07:00,64,80,2019-09-12 08:56:02-07:00,76,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,56,90,2019-10-03 08:56:02-07:00,32,50,2019-10-10 08:56:02-07:00,46,70,2019-10-17 08:56:02-07:00,43,60,2019-10-24 08:56:02-07:00,43,60,2019-10-31 08:56:02-07:00,0.98,100,2019-10-08 12:30:07-07:00,0.61,100,2019-11-08 12:30:07-07:00,0.74,100,2019-12-08 12:30:07-07:00,9,12,13,10,5,0.7594594594594595,0.7551984126984127,0.7594594594594595,0.7101449275362319,0.702768016297428,0.7101449275362319,0.7378272620446533,74.0,C
sxj49423,sarah.jones@univ.edu,3,Sarah,Jones,62.0,80,2019-08-29 08:56:02-07:00,49,80,2019-09-05 08:56:02-07:00,55,80,2019-09-12 08:56:02-07:00,80,100,2019-09-19 08:56:02-07:00,49,70,2019-09-26 08:56:02-07:00,71,90,2019-10-03 08:56:02-07:00,37,50,2019-10-10 08:56:02-07:00,60,70,2019-10-17 08:56:02-07:00,36,60,2019-10-24 08:56:02-07:00,37,60,2019-10-31 08:56:02-07:00,0.89,100,2019-10-08 12:30:07-07:00,0.68,100,2019-11-08 12:30:07-07:00,0.94,100,2019-12-08 12:30:07-07:00,9,15,15,14,12,0.7243243243243244,0.7177698412698412,0.7243243243243244,0.9420289855072463,0.9401069518716578,0.9420289855072463,0.8258384253819037,83.0,B
dsl24347,danielle.lee@univ.edu,3,Danielle,Lee,69.0,80,2019-08-29 08:56:02-07:00,51,80,2019-09-05 08:56:02-07:00,70,80,2019-09-12 08:56:02-07:00,96,100,2019-09-19 08:56:02-07:00,51,70,2019-09-26 08:56:02-07:00,77,90,2019-10-03 08:56:02-07:00,37,50,2019-10-10 08:56:02-07:00,52,70,2019-10-17 08:56:02-07:00,49,60,2019-10-24 08:56:02-07:00,57,60,2019-10-31 08:56:02-07:00,0.62,100,2019-10-08 12:30:07-07:00,0.7,100,2019-11-08 12:30:07-07:00,0.9,100,2019-12-08 12:30:07-07:00,7,14,10,5,7,0.822972972972973,0.8168650793650792,0.822972972972973,0.6231884057971014,0.6196816908581615,0.6231884057971014,0.7521457109283196,76.0,C
tgl37922,tammy.leon@univ.edu,3,Tammy,Leon,63.0,80,2019-08-29 08:56:02-07:00,75,80,2019-09-05 08:56:02-07:00,63,80,2019-09-12 08:56:02-07:00,70,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,33,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,47,60,2019-10-24 08:56:02-07:00,42,60,2019-10-31 08:56:02-07:00,0.88,100,2019-10-08 12:30:07-07:00,0.9,100,2019-11-08 12:30:07-07:00,0.87,100,2019-12-08 12:30:07-07:00,4,14,17,6,4,0.8094594594594594,0.8022500000000001,0.8094594594594594,0.6521739130434783,0.6117748917748917,0.6521739130434783,0.7839359576968273,79.0,C
kxm62826,kimberly.mccall@univ.edu,3,Kimberly,Mccall,61.0,80,2019-08-29 08:56:02-07:00,53,80,2019-09-05 08:56:02-07:00,79,80,2019-09-12 08:56:02-07:00,95,100,2019-09-19 08:56:02-07:00,44,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,36,50,2019-10-10 08:56:02-07:00,48,70,2019-10-17 08:56:02-07:00,60,60,2019-10-24 08:56:02-07:00,57,60,2019-10-31 08:56:02-07:00,0.79,100,2019-10-08 12:30:07-07:00,0.98,100,2019-11-08 12:30:07-07:00,0.6,100,2019-12-08 12:30:07-07:00,11,15,10,12,4,0.8378378378378378,0.8313452380952381,0.8378378378378378,0.7536231884057971,0.7557422969187676,0.7557422969187676,0.7893578242107654,79.0,C
axm26865,anthony.miller@univ.edu,3,Anthony,Miller,77.0,80,2019-08-29 08:56:02-07:00,53,80,2019-09-05 08:56:02-07:00,65,80,2019-09-12 08:56:02-07:00,74,100,2019-09-19 08:56:02-07:00,66,70,2019-09-26 08:56:02-07:00,78,90,2019-10-03 08:56:02-07:00,30,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,53,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,0.73,100,2019-10-08 12:30:07-07:00,0.68,100,2019-11-08 12:30:07-07:00,0.93,100,2019-12-08 12:30:07-07:00,9,8,13,7,12,0.8,0.7939404761904763,0.8,0.7101449275362319,0.7232442067736186,0.7232442067736186,0.7809732620320856,79.0,C
bxm17365,brett.miranda@univ.edu,3,Brett,Miranda,74.0,80,2019-08-29 08:56:02-07:00,63,80,2019-09-05 08:56:02-07:00,53,80,2019-09-12 08:56:02-07:00,71,100,2019-09-19 08:56:02-07:00,61,70,2019-09-26 08:56:02-07:00,62,90,2019-10-03 08:56:02-07:00,43,50,2019-10-10 08:56:02-07:00,51,70,2019-10-17 08:56:02-07:00,54,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.82,100,2019-10-08 12:30:07-07:00,0.94,100,2019-11-08 12:30:07-07:00,0.95,100,2019-12-08 12:30:07-07:00,11,9,15,11,8,0.7878378378378378,0.7983888888888889,0.7983888888888889,0.782608695652174,0.7869467787114846,0.7869467787114846,0.8329395891690009,84.0,B
njp08545,nicole.patterson@univ.edu,3,Nicole,Patterson,66.0,80,2019-08-29 08:56:02-07:00,66,80,2019-09-05 08:56:02-07:00,55,80,2019-09-12 08:56:02-07:00,89,100,2019-09-19 08:56:02-07:00,49,70,2019-09-26 08:56:02-07:00,83,90,2019-10-03 08:56:02-07:00,48,50,2019-10-10 08:56:02-07:00,59,70,2019-10-17 08:56:02-07:00,37,60,2019-10-24 08:56:02-07:00,53,60,2019-10-31 08:56:02-07:00,0.96,100,2019-10-08 12:30:07-07:00,0.91,100,2019-11-08 12:30:07-07:00,0.95,100,2019-12-08 12:30:07-07:00,6,14,10,13,10,0.8175675675675675,0.8152579365079365,0.8175675675675675,0.7681159420289855,0.7657855869620576,0.7681159420289855,0.8389618096357226,84.0,B
jxp06435,jeffrey.perez@univ.edu,3,Jeffrey,Perez,50.0,80,2019-08-29 08:56:02-07:00,56,80,2019-09-05 08:56:02-07:00,50,80,2019-09-12 08:56:02-07:00,100,100,2019-09-19 08:56:02-07:00,53,70,2019-09-26 08:56:02-07:00,86,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,58,70,2019-10-17 08:56:02-07:00,44,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.67,100,2019-10-08 12:30:07-07:00,0.81,100,2019-11-08 12:30:07-07:00,0.95,100,2019-12-08 12:30:07-07:00,4,7,12,12,9,0.7959459459459459,0.7894603174603174,0.7959459459459459,0.6376811594202898,0.6286656480774128,0.6376811594202898,0.7666827262044653,77.0,C
mxp86000,melissa.poole@univ.edu,3,Melissa,Poole,62.0,80,2019-08-29 08:56:02-07:00,70,80,2019-09-05 08:56:02-07:00,70,80,2019-09-12 08:56:02-07:00,73,100,2019-09-19 08:56:02-07:00,54,70,2019-09-26 08:56:02-07:00,82,90,2019-10-03 08:56:02-07:00,43,50,2019-10-10 08:56:02-07:00,65,70,2019-10-17 08:56:02-07:00,54,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.88,100,2019-10-08 12:30:07-07:00,0.97,100,2019-11-08 12:30:07-07:00,0.83,100,2019-12-08 12:30:07-07:00,9,7,17,12,5,0.8432432432432433,0.8476111111111113,0.8476111111111113,0.7246376811594203,0.7117316017316018,0.7246376811594203,0.8219357487922707,83.0,B
rxp56459,ricardo.price@univ.edu,3,Ricardo,Price,77.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,67,80,2019-09-12 08:56:02-07:00,67,100,2019-09-19 08:56:02-07:00,67,70,2019-09-26 08:56:02-07:00,58,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,60,70,2019-10-17 08:56:02-07:00,38,60,2019-10-24 08:56:02-07:00,55,60,2019-10-31 08:56:02-07:00,0.68,100,2019-10-08 12:30:07-07:00,0.92,100,2019-11-08 12:30:07-07:00,0.75,100,2019-12-08 12:30:07-07:00,10,12,8,14,12,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.8115942028985508,0.8359358288770053,0.8359358288770053,0.8182299550123079,82.0,B
txr84689,timothy.ramirez@univ.edu,3,Timothy,Ramirez,72.0,80,2019-08-29 08:56:02-07:00,73,80,2019-09-05 08:56:02-07:00,65,80,2019-09-12 08:56:02-07:00,73,100,2019-09-19 08:56:02-07:00,49,70,2019-09-26 08:56:02-07:00,79,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,57,70,2019-10-17 08:56:02-07:00,54,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.84,100,2019-10-08 12:30:07-07:00,0.69,100,2019-11-08 12:30:07-07:00,0.87,100,2019-12-08 12:30:07-07:00,4,8,13,6,4,0.8405405405405405,0.8477063492063494,0.8477063492063494,0.5072463768115942,0.48471606824547997,0.5072463768115942,0.732756452726018,74.0,C
tbr17292,troy.raymond@univ.edu,3,Troy,Raymond,50.0,80,2019-08-29 08:56:02-07:00,59,80,2019-09-05 08:56:02-07:00,79,80,2019-09-12 08:56:02-07:00,98,100,2019-09-19 08:56:02-07:00,65,70,2019-09-26 08:56:02-07:00,68,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,66,70,2019-10-17 08:56:02-07:00,45,60,2019-10-24 08:56:02-07:00,49,60,2019-10-31 08:56:02-07:00,0.91,100,2019-10-08 12:30:07-07:00,0.67,100,2019-11-08 12:30:07-07:00,1.0,100,2019-12-08 12:30:07-07:00,7,7,14,7,5,0.8418918918918918,0.8403650793650794,0.8418918918918918,0.5797101449275363,0.5686452762923351,0.5797101449275363,0.7731698002350176,78.0,C
lcr30757,laura.reid@univ.edu,3,Laura,Reid,51.0,80,2019-08-29 08:56:02-07:00,75,80,2019-09-05 08:56:02-07:00,48,80,2019-09-12 08:56:02-07:00,62,100,2019-09-19 08:56:02-07:00,42,70,2019-09-26 08:56:02-07:00,54,90,2019-10-03 08:56:02-07:00,32,50,2019-10-10 08:56:02-07:00,61,70,2019-10-17 08:56:02-07:00,49,60,2019-10-24 08:56:02-07:00,46,60,2019-10-31 08:56:02-07:00,0.64,100,2019-10-08 12:30:07-07:00,0.86,100,2019-11-08 12:30:07-07:00,0.86,100,2019-12-08 12:30:07-07:00,4,13,10,8,12,0.7027027027027027,0.7089761904761904,0.7089761904761904,0.6811594202898551,0.6779933791698498,0.6811594202898551,0.7349383022774327,74.0,C
cxr98775,carol.reyes@univ.edu,3,Carol,Reyes,75.0,80,2019-08-29 08:56:02-07:00,80,80,2019-09-05 08:56:02-07:00,66,80,2019-09-12 08:56:02-07:00,62,100,2019-09-19 08:56:02-07:00,60,70,2019-09-26 08:56:02-07:00,66,90,2019-10-03 08:56:02-07:00,37,50,2019-10-10 08:56:02-07:00,65,70,2019-10-17 08:56:02-07:00,44,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.99,100,2019-10-08 12:30:07-07:00,0.91,100,2019-11-08 12:30:07-07:00,0.9,100,2019-12-08 12:30:07-07:00,5,15,8,14,6,0.8189189189189189,0.8224880952380953,0.8224880952380953,0.6956521739130435,0.6850267379679145,0.6956521739130435,0.8131908902691511,82.0,B
jxr10806,jason.reyes@univ.edu,3,Jason,Reyes,67.0,80,2019-08-29 08:56:02-07:00,66,80,2019-09-05 08:56:02-07:00,65,80,2019-09-12 08:56:02-07:00,68,100,2019-09-19 08:56:02-07:00,57,70,2019-09-26 08:56:02-07:00,70,90,2019-10-03 08:56:02-07:00,34,50,2019-10-10 08:56:02-07:00,64,70,2019-10-17 08:56:02-07:00,57,60,2019-10-24 08:56:02-07:00,44,60,2019-10-31 08:56:02-07:00,0.7,100,2019-10-08 12:30:07-07:00,0.81,100,2019-11-08 12:30:07-07:00,0.86,100,2019-12-08 12:30:07-07:00,9,13,13,6,4,0.8,0.8024682539682539,0.8024682539682539,0.6521739130434783,0.6422918258212376,0.6521739130434783,0.761639475500345,77.0,C
